stereotype,total_correlation,rank
category,3.277544373604658,15
collective,3.5142100555940408,10
event,3.6820070749862124,7
kind,4.10130655901476,4
mode,3.36912426985368,13
phase,2.88868166531471,18
quality,3.0750567166910283,17
relator,4.3301747781831175,2
role,3.7559657039006424,6
roleMixin,2.6423920979051805,19
subkind,3.6547380363088457,8
type,3.3055423729109226,14
characterization,4.1159151244789465,3
componentOf,3.542655632188395,9
derivation,3.200701338869405,16
material,3.480393831465542,12
mediation,4.787188421754803,1
memberOf,3.806183924294352,5
participation,3.4832813437056247,11
