stereotype,total_correlation,rank
category,5.964651119045035,2
event,3.38250189537168,17
kind,5.027646677437893,10
mode,5.4226253072666095,9
phase,4.45962139842577,14
relator,4.975506816802911,11
role,4.210554383026459,16
roleMixin,4.5802716150516005,13
subkind,4.359195115163027,15
type,4.868882018018798,12
characterization,5.431274754304766,8
componentOf,5.592212532080874,5
derivation,5.471759543379566,7
formal,5.5170624531603165,6
material,5.725761412970859,3
mediation,6.35312591179569,1
memberOf,5.622195293582754,4
