Stereotype,category,collective,datatype,enumeration,event,kind,mixin,mode,quality,quantity,relator,role,situation,subkind,characterization,componentOf,derivation,material,mediation
category,1.0,0.5,-1.0,-1.0,-1.0,,-1.0,0.5,-1.0,-1.0,0.5,-0.5,-1.0,1.0,-0.5,0.5,0.5,1.0,0.5
collective,0.5,1.0,-0.5,-0.5,-0.5,,-0.5,1.0,-0.5,-0.5,-0.5,0.5,-0.5,0.5,-1.0,-0.5,-0.5,0.5,-0.5
datatype,-1.0,-0.5,1.0,1.0,1.0,,1.0,-0.5,1.0,1.0,-0.5,0.5,1.0,-1.0,0.5,-0.5,-0.5,-1.0,-0.5
enumeration,-1.0,-0.5,1.0,1.0,1.0,,1.0,-0.5,1.0,1.0,-0.5,0.5,1.0,-1.0,0.5,-0.5,-0.5,-1.0,-0.5
event,-1.0,-0.5,1.0,1.0,1.0,,1.0,-0.5,1.0,1.0,-0.5,0.5,1.0,-1.0,0.5,-0.5,-0.5,-1.0,-0.5
kind,,,,,,,,,,,,,,,,,,,
mixin,-1.0,-0.5,1.0,1.0,1.0,,1.0,-0.5,1.0,1.0,-0.5,0.5,1.0,-1.0,0.5,-0.5,-0.5,-1.0,-0.5
mode,0.5,1.0,-0.5,-0.5,-0.5,,-0.5,1.0,-0.5,-0.5,-0.5,0.5,-0.5,0.5,-1.0,-0.5,-0.5,0.5,-0.5
quality,-1.0,-0.5,1.0,1.0,1.0,,1.0,-0.5,1.0,1.0,-0.5,0.5,1.0,-1.0,0.5,-0.5,-0.5,-1.0,-0.5
quantity,-1.0,-0.5,1.0,1.0,1.0,,1.0,-0.5,1.0,1.0,-0.5,0.5,1.0,-1.0,0.5,-0.5,-0.5,-1.0,-0.5
relator,0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,1.0,-1.0,-0.5,0.5,0.5,1.0,1.0,0.5,1.0
role,-0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,-1.0,1.0,0.5,-0.5,-0.5,-1.0,-1.0,-0.5,-1.0
situation,-1.0,-0.5,1.0,1.0,1.0,,1.0,-0.5,1.0,1.0,-0.5,0.5,1.0,-1.0,0.5,-0.5,-0.5,-1.0,-0.5
subkind,1.0,0.5,-1.0,-1.0,-1.0,,-1.0,0.5,-1.0,-1.0,0.5,-0.5,-1.0,1.0,-0.5,0.5,0.5,1.0,0.5
characterization,-0.5,-1.0,0.5,0.5,0.5,,0.5,-1.0,0.5,0.5,0.5,-0.5,0.5,-0.5,1.0,0.5,0.5,-0.5,0.5
componentOf,0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,1.0,-1.0,-0.5,0.5,0.5,1.0,1.0,0.5,1.0
derivation,0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,1.0,-1.0,-0.5,0.5,0.5,1.0,1.0,0.5,1.0
material,1.0,0.5,-1.0,-1.0,-1.0,,-1.0,0.5,-1.0,-1.0,0.5,-0.5,-1.0,1.0,-0.5,0.5,0.5,1.0,0.5
mediation,0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,1.0,-1.0,-0.5,0.5,0.5,1.0,1.0,0.5,1.0
