Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
kind,25,1,25,20.833333333333336
subkind,23,2,48,40.0
material,13,3,61,50.83333333333333
category,7,4,68,56.666666666666664
quantity,6,5,74,61.66666666666667
derivation,6,6,80,66.66666666666666
relator,6,7,86,71.66666666666667
enumeration,5,8,91,75.83333333333333
role,5,9,96,80.0
situation,4,10,100,83.33333333333334
characterization,4,11,104,86.66666666666667
componentOf,3,12,107,89.16666666666667
mode,3,13,110,91.66666666666666
event,3,14,113,94.16666666666667
mediation,2,15,115,95.83333333333334
quality,2,16,117,97.5
collective,1,17,118,98.33333333333333
mixin,1,18,119,99.16666666666667
datatype,1,19,120,100.0
abstract,0,20,120,100.0
historicalRoleMixin,0,21,120,100.0
historicalRole,0,22,120,100.0
phaseMixin,0,23,120,100.0
phase,0,24,120,100.0
comparative,0,25,120,100.0
bringsAbout,0,26,120,100.0
type,0,27,120,100.0
roleMixin,0,28,120,100.0
externalDependence,0,29,120,100.0
historicalDependence,0,30,120,100.0
instantiation,0,31,120,100.0
creation,0,32,120,100.0
manifestation,0,33,120,100.0
memberOf,0,34,120,100.0
participation,0,35,120,100.0
participational,0,36,120,100.0
subCollectionOf,0,37,120,100.0
subQuantityOf,0,38,120,100.0
termination,0,39,120,100.0
triggers,0,40,120,100.0
