Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.5578763127187865,4,0.2967914438502674
20.0,8,0.7558926487747958,8,0.5240641711229946
30.0,12,0.8837806301050175,12,0.6951871657754011
40.0,16,0.9495915985997666,16,0.8181818181818182
50.0,20,0.9834305717619604,20,0.9037433155080213
60.0,24,0.9922987164527421,24,0.9545454545454546
70.0,28,0.9978996499416569,28,0.983957219251337
80.0,32,0.9995332555425904,32,0.9946524064171123
90.0,36,1.0,36,1.0
100.0,41,1.0,41,1.0
