stereotype,total_correlation,rank
category,5.20081123049309,12
collective,5.807981711720606,4
datatype,3.904314175143739,22
enumeration,2.5529844813132776,25
event,4.315388787040255,16
kind,4.850981922178953,13
mixin,6.180283848321309,2
mode,5.54512203520132,8
phase,4.772054475393644,14
quality,3.910205803922384,21
quantity,5.43741888618187,9
relator,4.065601324662764,19
role,3.4199192145684547,24
roleMixin,4.045891240877971,20
situation,3.579749407896797,23
subkind,4.306644193722771,17
type,4.737510841481394,15
characterization,6.252554240836545,1
componentOf,5.3871890158459035,10
derivation,5.659542869577859,6
formal,5.311116760963029,11
material,5.581116104151914,7
mediation,5.739281368758295,5
memberOf,6.151722549839636,3
subCollectionOf,4.114957605969447,18
