model,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
abel2015petroleum-system,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
abrahao2018agriculture-operations,0,1,0,0,0,6,0,0,0,0,0,11,2,0,0,0,0,0,0,0,29,4
aguiar2018rdbs-o,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,29,0
albuquerque2011ontobio,0,3,15,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,5,8
andersson2018value-ascription,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3
barcelos2013normative-acts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
barcelos2015transport-networks,0,0,0,0,0,31,0,12,0,0,0,92,129,0,0,0,0,0,0,0,0,84
brazilian-governmental-organizational-structures,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2
carolla2014campus-management,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,3
castro2012cloudvulnerability,0,0,0,0,0,2,0,5,0,0,0,6,13,0,0,0,0,0,0,0,1,0
cmpo2017,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,60,0
dpo2017,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,44,1
ferreira2015ontoemergeplan,0,7,0,0,0,0,0,69,0,0,0,6,16,0,0,0,0,0,0,0,14,9
franco2018rpg,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,6
gailly2016value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
grueau2013towards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
guarino2016value,0,8,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,12,0
guarino2018rea,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0
guizzardi2005ontological,0,1,0,0,0,2,0,5,0,0,0,2,6,0,0,0,0,0,0,0,4,5
junior2018o4c,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2
kostov2017towards,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,32,1
laurier2018rea,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0
martinez2013human-genome,0,0,0,0,0,2,0,3,0,0,0,2,4,0,0,0,0,0,0,0,0,4
mgic-antt2011,0,101,0,0,0,64,0,107,0,0,0,154,1047,0,0,0,0,0,0,0,4,305
nardi2015ufo-s,0,6,0,0,0,0,0,16,0,0,0,0,6,0,4,0,0,0,0,0,0,16
o3ontology2015,0,5,0,0,0,2,0,68,0,0,0,7,43,0,0,0,0,0,0,0,75,20
oliveira2007collaboration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
pereira2015doacao-orgaos,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0
quality-assurance-process-ontology2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
ramirez2015userfeedback,0,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,9
rodrigues2017urinary-profiles,0,3,0,0,0,4,0,0,0,0,0,4,11,0,0,0,0,0,0,0,21,19
sales2018competition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
sales2018cover,0,11,0,0,0,0,0,0,0,2,3,0,6,0,11,0,0,0,0,2,13,10
services2015,0,14,0,0,0,1,0,19,0,0,0,1,10,0,0,0,0,0,0,0,32,14
silva2012itarchitecture,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,27,0
spmo2017,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,0
spo2017,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,87,0
zhou2017hazard-ontology-robotic-strolling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
zhou2017hazard-ontology-train-control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
