model,total_classes,stereotyped_classes,non_stereotyped_classes,ontouml_classes,non_ontouml_classes,total_relations,stereotyped_relations,non_stereotyped_relations,ontouml_relations,non_ontouml_relations,unique_class_stereotypes,unique_relation_stereotypes,ratio_classes_relations,ratio_stereotyped_classes_relations,ratio_stereotyped_classes_total,ratio_non_stereotyped_classes_total,ratio_stereotyped_relations_total,ratio_non_stereotyped_relations_total,ratio_ontouml_classes_total,ratio_non_ontouml_classes_total,ratio_ontouml_relations_total,ratio_non_ontouml_relations_total
abel2015petroleum-system,29,29,0,29,0,21,12,9,3,18,9,1,1.380952380952381,2.4166666666666665,1.0,0.0,0.5714285714285714,0.42857142857142855,1.0,0.0,0.14285714285714285,0.8571428571428571
abrahao2018agriculture-operations,22,22,0,20,2,53,24,29,20,33,4,4,0.41509433962264153,0.9166666666666666,1.0,0.0,0.4528301886792453,0.5471698113207547,0.9090909090909091,0.09090909090909091,0.37735849056603776,0.6226415094339622
aguiar2018rdbs-o,43,43,0,43,0,31,2,29,2,29,6,1,1.3870967741935485,21.5,1.0,0.0,0.06451612903225806,0.9354838709677419,1.0,0.0,0.06451612903225806,0.9354838709677419
albuquerque2011ontobio,147,147,0,147,0,43,38,5,30,13,11,4,3.4186046511627906,3.8684210526315788,1.0,0.0,0.8837209302325582,0.11627906976744186,1.0,0.0,0.6976744186046512,0.3023255813953488
andersson2018value-ascription,13,13,0,6,7,17,3,14,0,17,3,0,0.7647058823529411,4.333333333333333,1.0,0.0,0.17647058823529413,0.8235294117647058,0.46153846153846156,0.5384615384615384,0.0,1.0
barcelos2013normative-acts,45,45,0,45,0,18,18,0,0,18,4,0,2.5,2.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
barcelos2015transport-networks,487,487,0,462,25,348,348,0,264,84,7,4,1.3994252873563218,1.3994252873563218,1.0,0.0,1.0,0.0,0.9486652977412731,0.0513347022587269,0.7586206896551724,0.2413793103448276
brazilian-governmental-organizational-structures,15,15,0,15,0,7,7,0,5,2,4,1,2.142857142857143,2.142857142857143,1.0,0.0,1.0,0.0,1.0,0.0,0.7142857142857143,0.2857142857142857
carolla2014campus-management,17,17,0,17,0,23,13,10,10,13,3,2,0.7391304347826086,1.3076923076923077,1.0,0.0,0.5652173913043478,0.43478260869565216,1.0,0.0,0.43478260869565216,0.5652173913043478
castro2012cloudvulnerability,32,32,0,32,0,27,26,1,26,1,5,4,1.1851851851851851,1.2307692307692308,1.0,0.0,0.9629629629629629,0.037037037037037035,1.0,0.0,0.9629629629629629,0.037037037037037035
