Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none_r,518,1,518,27.263157894736846
kind,157,2,675,35.526315789473685
subkind,148,3,823,43.31578947368421
event,121,4,944,49.684210526315795
role,95,5,1039,54.68421052631579
mediation,86,6,1125,59.210526315789465
relator,85,7,1210,63.68421052631579
other_r,83,8,1293,68.05263157894737
category,72,9,1365,71.84210526315789
other_c,55,10,1420,74.73684210526315
mode,55,11,1475,77.63157894736842
roleMixin,54,12,1529,80.47368421052632
none_c,53,13,1582,83.26315789473684
material,49,14,1631,85.84210526315789
characterization,46,15,1677,88.26315789473685
componentOf,41,16,1718,90.42105263157895
phase,24,17,1742,91.6842105263158
derivation,21,18,1763,92.78947368421052
collective,16,19,1779,93.63157894736842
situation,15,20,1794,94.42105263157895
participation,15,21,1809,95.21052631578948
quality,13,22,1822,95.89473684210526
memberOf,10,23,1832,96.42105263157895
quantity,10,24,1842,96.94736842105263
enumeration,10,25,1852,97.47368421052632
externalDependence,8,26,1860,97.89473684210527
datatype,7,27,1867,98.26315789473684
subCollectionOf,7,28,1874,98.63157894736842
mixin,6,29,1880,98.94736842105263
type,5,30,1885,99.21052631578947
historicalDependence,5,31,1890,99.47368421052632
manifestation,3,32,1893,99.63157894736842
bringsAbout,3,33,1896,99.78947368421053
triggers,2,34,1898,99.89473684210526
instantiation,2,35,1900,100.0
abstract,0,36,1900,100.0
historicalRole,0,37,1900,100.0
historicalRoleMixin,0,38,1900,100.0
phaseMixin,0,39,1900,100.0
comparative,0,40,1900,100.0
creation,0,41,1900,100.0
participational,0,42,1900,100.0
subQuantityOf,0,43,1900,100.0
termination,0,44,1900,100.0
