Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.49580632863133817,2,0.28932038834951457
20.0,4,0.7085398398780023,4,0.48349514563106794
30.0,6,0.8234845596645063,6,0.6213592233009708
40.0,8,0.9041174227983225,8,0.7281553398058253
50.0,10,0.9374761723217689,10,0.8135922330097087
60.0,12,0.9605413648494091,12,0.8815533980582524
70.0,14,0.9757910789172703,14,0.9320388349514563
80.0,16,0.9866565001906215,16,0.9631067961165048
90.0,18,0.994281357224552,18,0.9844660194174757
100.0,20,1.0,20,1.0
