Stereotype,characterization,componentOf,creation,derivation,externalDependence,formal,instantiation,material,mediation,memberOf,participation
characterization,1.0,0.2902973318063562,0.16705174823862123,0.08831049253261174,0.35116968687505645,0.08691793475231986,0.28535750958535117,0.18949241369336384,0.40246518691575606,0.23474627321980854,0.32627418737841973
componentOf,0.2902973318063562,1.0,0.0473703554238802,0.13751447726256963,0.021006761448246414,0.14132712508420217,0.13649909283091405,0.3536710906818347,0.2685284141822837,0.4215559623864913,0.0016593450365547965
creation,0.16705174823862123,0.0473703554238802,1.0,0.045647640521334854,0.2588888465425611,0.1017019449605245,0.393129706795495,0.00666879142724278,0.1684687572718269,0.20996152617139668,0.6982998353839981
derivation,0.08831049253261174,0.13751447726256963,0.045647640521334854,1.0,0.11169639557169804,0.1932382205322446,0.14603125440538609,0.5194120567266172,0.44293235277288207,0.2644460892947823,0.030692152253934506
externalDependence,0.35116968687505645,0.021006761448246414,0.2588888465425611,0.11169639557169804,1.0,0.126858800625504,0.5582857431780405,0.23084157724333834,0.10153008927691641,0.14098743864172072,0.36317008759574176
formal,0.08691793475231986,0.14132712508420217,0.1017019449605245,0.1932382205322446,0.126858800625504,1.0,0.07968821258157284,0.18127273352331927,0.1846051791239219,0.3586927287026302,0.028237649782112736
instantiation,0.28535750958535117,0.13649909283091405,0.393129706795495,0.14603125440538609,0.5582857431780405,0.07968821258157284,1.0,0.12765766974464074,0.05309723397086866,0.07427121197994872,0.47719919384483633
material,0.18949241369336384,0.3536710906818347,0.00666879142724278,0.5194120567266172,0.23084157724333834,0.18127273352331927,0.12765766974464074,1.0,0.39438830765788796,0.3034270193454677,0.039669209931559216
mediation,0.40246518691575606,0.2685284141822837,0.1684687572718269,0.44293235277288207,0.10153008927691641,0.1846051791239219,0.05309723397086866,0.39438830765788796,1.0,0.41401724211172547,0.11645624632052294
memberOf,0.23474627321980854,0.4215559623864913,0.20996152617139668,0.2644460892947823,0.14098743864172072,0.3586927287026302,0.07427121197994872,0.3034270193454677,0.41401724211172547,1.0,0.1800239633661558
participation,0.32627418737841973,0.0016593450365547965,0.6982998353839981,0.030692152253934506,0.36317008759574176,0.028237649782112736,0.47719919384483633,0.039669209931559216,0.11645624632052294,0.1800239633661558,1.0
