Stereotype,characterization,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
characterization,1.0,0.25369174243627185,0.23077612232016503,0.036120289049959065,0.41364626674733745,0.09859576488811385,0.285435432727007,0.3190310553754235,0.34801748433782603,0.19924856807228286,0.35360922862515587,0.1900500765007731,0.38513413551667286
componentOf,0.25369174243627185,1.0,0.044969161049994544,0.20118872658465192,-0.05397438289668525,0.1575413063930021,0.06476568227206492,0.11297408035183577,-0.0013940051431680664,0.40413895089906526,0.35810120438148296,0.43805505228565583,0.004049581779434303
creation,0.23077612232016503,0.044969161049994544,1.0,-0.006574216424106212,0.32640170391461654,-0.10489767224984531,0.46246952971782407,0.4112654057993126,0.48684446429985806,0.0189515533544545,0.1915124845649209,0.12601281955040958,0.7281009282652433
derivation,0.036120289049959065,0.20118872658465192,-0.006574216424106212,1.0,-0.16606317114580388,0.18921702867533985,-0.12679092671725245,-0.1498426243866233,-0.20153068764626153,0.4876105707347326,0.4079359553405686,0.2706753552558067,-0.07637392588994227
externalDependence,0.41364626674733745,-0.05397438289668525,0.32640170391461654,-0.16606317114580388,1.0,0.053257970996073316,0.3929162294835251,0.4959535682719219,0.4736700414786501,-0.18114848210449083,0.11161506849283376,0.07588943486805144,0.4072281447389415
formal,0.09859576488811385,0.1575413063930021,-0.10489767224984531,0.18921702867533985,0.053257970996073316,1.0,-0.023886178309107386,0.021763352031145527,0.10178202049370895,0.16825751814675902,0.17007089248360222,0.35262666833685896,-0.028798963898580925
historicalDependence,0.285435432727007,0.06476568227206492,0.46246952971782407,-0.12679092671725245,0.3929162294835251,-0.023886178309107386,1.0,0.5993459527592753,0.5741898121741565,0.03235357151456952,0.06856945784064228,0.0258522786837793,0.6615995165745593
instantiation,0.3190310553754235,0.11297408035183577,0.4112654057993126,-0.1498426243866233,0.4959535682719219,0.021763352031145527,0.5993459527592753,1.0,0.700181737083859,-0.10911725759650137,0.06683209625803689,0.03009776474558513,0.5433383299380928
manifestation,0.34801748433782603,-0.0013940051431680664,0.48684446429985806,-0.20153068764626153,0.4736700414786501,0.10178202049370895,0.5741898121741565,0.700181737083859,1.0,-0.14042564743439995,-0.03695178872907004,-0.058740045380096806,0.6085197279861005
material,0.19924856807228286,0.40413895089906526,0.0189515533544545,0.4876105707347326,-0.18114848210449083,0.16825751814675902,0.03235357151456952,-0.10911725759650137,-0.14042564743439995,1.0,0.4263296445270028,0.28550364915564563,-0.018365239640337316
mediation,0.35360922862515587,0.35810120438148296,0.1915124845649209,0.4079359553405686,0.11161506849283376,0.17007089248360222,0.06856945784064228,0.06683209625803689,-0.03695178872907004,0.4263296445270028,1.0,0.43083346862883626,0.08794188616165491
memberOf,0.1900500765007731,0.43805505228565583,0.12601281955040958,0.2706753552558067,0.07588943486805144,0.35262666833685896,0.0258522786837793,0.03009776474558513,-0.058740045380096806,0.28550364915564563,0.43083346862883626,1.0,0.10654915702883536
participation,0.38513413551667286,0.004049581779434303,0.7281009282652433,-0.07637392588994227,0.4072281447389415,-0.028798963898580925,0.6615995165745593,0.5433383299380928,0.6085197279861005,-0.018365239640337316,0.08794188616165491,0.10654915702883536,1.0
