Stereotype,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
bringsAbout,1.0,0.24637214800955076,0.029025378244791924,0.1838632646333645,-0.026500301167547487,0.21467396350880788,-0.049860655380886326,0.3397676266964775,0.2140677814930519,0.3819904503581101,0.06439090545429119,-0.12800936046421055,-0.08947288973441542,0.5111192990419237
characterization,0.24637214800955076,1.0,0.27061597782689956,0.21451390558587197,0.07480564442332233,0.3624242577598808,0.045081579436624705,0.2566001396997562,0.29708391025736897,0.30498981314327883,0.18351555874951866,0.3988529558051026,0.1788224240673145,0.3534373437125938
componentOf,0.029025378244791924,0.27061597782689956,1.0,0.0638160347516615,0.12166811796765524,-0.05558899996254385,0.1593836280362071,0.11173882661095925,0.15313510499329236,0.07804840727515484,0.33739453368792016,0.17352941176470588,0.38277982774036906,0.009901475429766743
creation,0.1838632646333645,0.21451390558587197,0.0638160347516615,1.0,0.0074603844627904635,0.29068181288100825,-0.0915826648928706,0.4764400379121249,0.42630829341662446,0.4821625979078759,0.01778980800340119,0.13356844482905897,0.12172467553437176,0.7374397585943651
derivation,-0.026500301167547487,0.07480564442332233,0.12166811796765524,0.0074603844627904635,1.0,-0.14778081604235002,0.18805847400625034,-0.12647363331006445,-0.12647363331006445,-0.18416859185409706,0.5034643355691794,0.4245549939208898,0.2829188351997147,-0.05184758473652126
externalDependence,0.21467396350880788,0.3624242577598808,-0.05558899996254385,0.29068181288100825,-0.14778081604235002,1.0,0.07218877458951924,0.3844577213256354,0.5289008765129504,0.4400987555383646,-0.17829811279275945,0.09350354865494555,0.08615905666960304,0.3915554237491469
formal,-0.049860655380886326,0.045081579436624705,0.1593836280362071,-0.0915826648928706,0.18805847400625034,0.07218877458951924,1.0,-0.016452288364143232,0.03443502215750909,0.12063689827671961,0.19019076860001397,0.12111950561541636,0.3595066751883065,-0.04868644955601477
historicalDependence,0.3397676266964775,0.2566001396997562,0.11173882661095925,0.4764400379121249,-0.12647363331006445,0.3844577213256354,-0.016452288364143232,1.0,0.5794466403162055,0.5863184133997812,0.03189361438322608,0.05384628691837312,0.021681820909736412,0.5909729366542156
instantiation,0.2140677814930519,0.29708391025736897,0.15313510499329236,0.42630829341662446,-0.12647363331006445,0.5289008765129504,0.03443502215750909,0.5794466403162055,1.0,0.6975599954000249,-0.12817622384202176,0.012450008536040029,0.021681820909736412,0.5029556907695452
manifestation,0.3819904503581101,0.30498981314327883,0.07804840727515484,0.4821625979078759,-0.18416859185409706,0.4400987555383646,0.12063689827671961,0.5863184133997812,0.6975599954000249,1.0,-0.12160943693577815,-0.03424909011230424,-0.03996077109047851,0.5720634905044558
material,0.06439090545429119,0.18351555874951866,0.33739453368792016,0.01778980800340119,0.5034643355691794,-0.17829811279275945,0.19019076860001397,0.03189361438322608,-0.12817622384202176,-0.12160943693577815,1.0,0.3558754140444214,0.2763247665429196,-0.028715037296271242
mediation,-0.12800936046421055,0.3988529558051026,0.17352941176470588,0.13356844482905897,0.4245549939208898,0.09350354865494555,0.12111950561541636,0.05384628691837312,0.012450008536040029,-0.03424909011230424,0.3558754140444214,1.0,0.3497340872160206,0.09406401658278406
memberOf,-0.08947288973441542,0.1788224240673145,0.38277982774036906,0.12172467553437176,0.2829188351997147,0.08615905666960304,0.3595066751883065,0.021681820909736412,0.021681820909736412,-0.03996077109047851,0.2763247665429196,0.3497340872160206,1.0,0.11124853987249621
participation,0.5111192990419237,0.3534373437125938,0.009901475429766743,0.7374397585943651,-0.05184758473652126,0.3915554237491469,-0.04868644955601477,0.5909729366542156,0.5029556907695452,0.5720634905044558,-0.028715037296271242,0.09406401658278406,0.11124853987249621,1.0
