Group,Support (Model Count),Coverage (%),Total Occurrences,Average Occurrences per Model
sortal,28,96.55172413793103,4687,161.6206896551724
non_sortal,21,72.41379310344827,663,22.862068965517242
rigid,28,96.55172413793103,3265,112.58620689655173
non_rigid,26,89.65517241379311,1949,67.20689655172414
abstracts,8,27.586206896551722,33,1.1379310344827587
temporal,12,41.37931034482759,139,4.793103448275862
rigid_sortal,28,96.55172413793103,2980,102.75862068965517
rigid_non_sortal,20,68.96551724137932,285,9.827586206896552
non_rigid_sortal,23,79.3103448275862,1571,54.172413793103445
non_rigid_non_sortal,17,58.620689655172406,378,13.03448275862069
