Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
mediation,71,1,71,17.067307692307693
characterization,61,2,132,31.73076923076923
material,48,3,180,43.269230769230774
componentOf,38,4,218,52.40384615384615
derivation,34,5,252,60.57692307692307
memberOf,26,6,278,66.82692307692307
participation,25,7,303,72.83653846153845
externalDependence,21,8,324,77.88461538461539
creation,15,9,339,81.49038461538461
instantiation,15,10,354,85.09615384615384
historicalDependence,14,11,368,88.46153846153845
manifestation,12,12,380,91.34615384615384
bringsAbout,11,13,391,93.99038461538461
triggers,9,14,400,96.15384615384616
comparative,5,15,405,97.35576923076923
subCollectionOf,4,16,409,98.3173076923077
participational,3,17,412,99.03846153846155
subQuantityOf,2,18,414,99.51923076923077
termination,2,19,416,100.0
