Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,1,0.4324122479462285,1,0.17067307692307693
20.0,3,0.6793627084889221,3,0.4326923076923077
30.0,5,0.8339556883246204,5,0.6057692307692307
40.0,7,0.912621359223301,7,0.7283653846153846
50.0,9,0.9464774707493154,9,0.8149038461538461
60.0,11,0.9658949464774708,11,0.8846153846153846
70.0,13,0.9813293502613891,13,0.9399038461538461
80.0,15,0.9925317401045557,15,0.9735576923076923
90.0,17,0.9985063480209111,17,0.9903846153846154
100.0,19,1.0,19,1.0
