Stereotype,x_value,y_value,quadrant
bringsAbout,0.2479338842975206,12,Q3
characterization,4.6115702479338845,68,Q1
comparative,0.3057851239669421,6,Q3
componentOf,4.553719008264463,45,Q1
creation,0.4958677685950413,18,Q2
derivation,1.8099173553719008,39,Q1
externalDependence,0.6363636363636364,22,Q1
historicalDependence,0.3636363636363636,16,Q3
instantiation,0.5702479338842975,17,Q4
manifestation,0.2809917355371901,12,Q3
material,5.148760330578512,54,Q1
mediation,16.25619834710744,77,Q1
memberOf,1.677685950413223,31,Q1
participation,1.743801652892562,29,Q1
participational,0.140495867768595,4,Q3
subCollectionOf,0.2231404958677686,6,Q3
subQuantityOf,0.1157024793388429,4,Q3
termination,0.0413223140495867,3,Q3
triggers,0.1322314049586777,10,Q3
other,4.388429752066116,35,Q1
none,18.40495867768595,105,Q1
