Stereotype,DistanceFromOrigin,Rank
none,18.40575572371611,1
mediation,16.256683641232293,2
material,5.149513863306703,3
characterization,4.612904246129087,4
componentOf,4.5543106783893075,5
other,4.388801165506394,6
derivation,1.8110352102579172,7
participation,1.7444432583914438,8
memberOf,1.6784479647758026,9
externalDependence,0.6373748528471717,10
instantiation,0.5709218822393599,11
creation,0.49673642485860836,12
historicalDependence,0.3645719058957568,13
comparative,0.30594173559413956,14
manifestation,0.2816728059215289,15
bringsAbout,0.24870549881006138,16
subCollectionOf,0.22335506359827603,17
participational,0.1406473185334943,18
triggers,0.1332338748166877,19
subQuantityOf,0.11588633688130386,20
termination,0.0416111105731599,21
