Stereotype,DistanceFromOrigin,Rank
none,2229.4739289796594,1
mediation,1968.5065405022153,2
material,625.3359097317217,3
characterization,562.1280992798705,4
componentOf,552.834514117923,5
other,532.1522338579441,6
derivation,222.4454989429995,7
participation,212.98356744124652,8
memberOf,205.35335400231475,9
externalDependence,80.0812087820857,10
instantiation,71.06335201775948,11
creation,62.6418390534633,12
historicalDependence,46.8187996428785,13
comparative,37.48332962798263,14
manifestation,36.05551275463989,15
bringsAbout,32.31098884280702,16
subCollectionOf,27.65863337187866,17
triggers,18.867962264113206,18
participational,17.46424919657298,19
subQuantityOf,14.560219778561036,20
termination,5.830951894845301,21
