Stereotype,DistanceFromOrigin,Rank
none,0.34211237288836044,1
mediation,0.290166728427352,2
characterization,0.13345931243634887,3
material,0.12092768111852321,4
componentOf,0.10371899071896493,5
other,0.09080745568824168,6
derivation,0.06997006666699199,7
memberOf,0.05732482045645456,8
participation,0.05500324659295885,9
externalDependence,0.03732117206185096,10
creation,0.03042847148721259,11
instantiation,0.029210955245330114,12
historicalDependence,0.026748916944936425,13
manifestation,0.02009119452796021,14
bringsAbout,0.01997821719512311,15
triggers,0.0164513791697784,16
comparative,0.010955000344069724,17
subCollectionOf,0.01042567476840244,18
participational,0.006905782803237147,19
subQuantityOf,0.006785667647609249,20
termination,0.00493892379380614,21
