Stereotype,DistanceFromOrigin,Rank
none,2227.0760522496594,1
mediation,1967.0671732263493,2
material,623.0212755058544,3
characterization,558.019055750027,4
componentOf,551.0188166993993,5
other,531.0181336976062,6
derivation,219.0074788696342,7
participation,211.00720566891698,8
memberOf,203.00693246819975,9
externalDependence,77.00262955690334,10
instantiation,69.00235635618613,11
creation,60.002049005379234,12
historicalDependence,44.00150260394477,13
comparative,37.001263553317195,14
manifestation,34.00116110304823,15
bringsAbout,30.001024502689617,16
subCollectionOf,27.000922052420655,17
participational,17.000580551524116,18
triggers,16.000546401434462,19
subQuantityOf,14.000478101255155,20
termination,5.0001707504482695,21
