Stereotype,DistanceFromOrigin,Rank
none,105.00013971340125,1
mediation,77.00010245649425,2
characterization,68.00009048105986,3
material,54.000071852606354,4
componentOf,45.000059877171964,5
derivation,39.000051893549035,6
other,35.00004657113375,7
memberOf,31.000041248718464,8
participation,29.00003858751082,9
externalDependence,22.00002927328407,10
creation,18.000023950868783,11
instantiation,17.000022620264964,12
historicalDependence,16.00002128966114,13
bringsAbout,12.000015967245856,14
manifestation,12.000015967245856,14
triggers,10.000013306038213,15
comparative,6.000007983622928,16
subCollectionOf,6.000007983622928,16
participational,4.000005322415285,17
subQuantityOf,4.000005322415285,17
termination,3.000003991811464,18
