Stereotype,DistanceFromOrigin,Rank
none,105.00358575941367,1
mediation,77.00262955690334,2
characterization,68.00232220609647,3
material,54.00184410484131,4
componentOf,45.001536754034426,5
derivation,39.0013318534965,6
other,35.00119525313789,7
memberOf,31.00105865277927,8
participation,29.000990352599963,9
externalDependence,22.000751301972386,10
creation,18.00061470161377,11
instantiation,17.000580551524116,12
historicalDependence,16.000546401434462,13
bringsAbout,12.000409801075849,14
manifestation,12.000409801075849,14
triggers,10.000341500896539,15
comparative,6.000204900537924,16
subCollectionOf,6.000204900537924,16
participational,4.000136600358616,17
subQuantityOf,4.000136600358616,17
termination,3.000102450268962,18
