Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.36506207797865386,2,0.21532846715328466
20.0,4,0.6242648660422566,4,0.4075425790754258
30.0,6,0.7380744935743847,6,0.5620437956204379
40.0,9,0.8634284469614463,9,0.7262773722627737
50.0,11,0.9173382705292964,11,0.8065693430656934
60.0,13,0.946961446307994,13,0.8637469586374696
70.0,16,0.9751688085384448,16,0.9355231143552312
80.0,18,0.9899803964277936,18,0.9708029197080292
90.0,20,0.9967327379655848,20,0.9902676399026764
100.0,23,1.0,23,1.0
