Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,373,1,373,17.586044318717587
kind,292,2,665,31.353135313531354
role,277,3,942,44.41301272984441
subkind,227,4,1169,55.115511551155116
relator,184,5,1353,63.7906647807638
componentOf,117,6,1470,69.3069306930693
material,113,7,1583,74.63460631777463
phase,83,8,1666,78.54785478547855
other_r,76,9,1742,82.13107024988213
derivation,61,10,1803,85.00707213578501
none_r,59,11,1862,87.78877887788778
collective,58,12,1920,90.52333804809052
memberOf,51,13,1971,92.92786421499292
category,36,14,2007,94.62517680339462
datatype,32,15,2039,96.13389910419613
roleMixin,24,16,2063,97.26544082979727
mode,17,17,2080,98.06694955209807
subCollectionOf,13,18,2093,98.67986798679867
characterization,12,19,2105,99.24563884959925
mixin,4,20,2109,99.43422913719944
enumeration,4,21,2113,99.62281942479963
quality,4,22,2117,99.81140971239981
type,2,23,2119,99.9057048561999
abstract,1,24,2120,99.95285242809994
comparative,1,25,2121,100.0
historicalRole,0,26,2121,100.0
historicalRoleMixin,0,27,2121,100.0
event,0,28,2121,100.0
creation,0,29,2121,100.0
none_c,0,30,2121,100.0
other_c,0,31,2121,100.0
bringsAbout,0,32,2121,100.0
quantity,0,33,2121,100.0
phaseMixin,0,34,2121,100.0
situation,0,35,2121,100.0
instantiation,0,36,2121,100.0
manifestation,0,37,2121,100.0
externalDependence,0,38,2121,100.0
historicalDependence,0,39,2121,100.0
participation,0,40,2121,100.0
subQuantityOf,0,41,2121,100.0
participational,0,42,2121,100.0
triggers,0,43,2121,100.0
termination,0,44,2121,100.0
