Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,1,0.025,1,0.025,0.0004714757190004715,0.0025380710659898475
category,36,0.9,14,0.35,0.016973125884016973,0.03553299492385787
collective,58,1.45,24,0.6,0.027345591702027345,0.06091370558375635
datatype,32,0.8,8,0.2,0.015087223008015087,0.02030456852791878
enumeration,4,0.1,1,0.025,0.001885902876001886,0.0025380710659898475
event,0,0.0,0,0.0,0.0,0.0
historicalRole,0,0.0,0,0.0,0.0,0.0
historicalRoleMixin,0,0.0,0,0.0,0.0,0.0
kind,292,7.3,39,0.975,0.13767090994813766,0.09898477157360407
mixin,4,0.1,3,0.075,0.001885902876001886,0.007614213197969543
mode,17,0.425,7,0.175,0.008015087223008015,0.017766497461928935
phase,83,2.075,17,0.425,0.039132484677039135,0.04314720812182741
phaseMixin,0,0.0,0,0.0,0.0,0.0
quality,4,0.1,2,0.05,0.001885902876001886,0.005076142131979695
quantity,0,0.0,0,0.0,0.0,0.0
relator,184,4.6,36,0.9,0.08675153229608674,0.09137055837563451
role,277,6.925,36,0.9,0.1305987741631306,0.09137055837563451
roleMixin,24,0.6,11,0.275,0.011315417256011316,0.027918781725888325
situation,0,0.0,0,0.0,0.0,0.0
subkind,227,5.675,31,0.775,0.10702498821310702,0.07868020304568528
type,2,0.05,1,0.025,0.000942951438000943,0.0025380710659898475
none_c,0,0.0,0,0.0,0.0,0.0
other_c,0,0.0,0,0.0,0.0,0.0
bringsAbout,0,0.0,0,0.0,0.0,0.0
characterization,12,0.3,9,0.225,0.005657708628005658,0.02284263959390863
comparative,1,0.025,1,0.025,0.0004714757190004715,0.0025380710659898475
componentOf,117,2.925,18,0.45,0.055162659123055166,0.04568527918781726
creation,0,0.0,0,0.0,0.0,0.0
derivation,61,1.525,21,0.525,0.02876001885902876,0.0532994923857868
externalDependence,0,0.0,0,0.0,0.0,0.0
historicalDependence,0,0.0,0,0.0,0.0,0.0
instantiation,0,0.0,0,0.0,0.0,0.0
manifestation,0,0.0,0,0.0,0.0,0.0
material,113,2.825,28,0.7,0.053276756247053275,0.07106598984771574
mediation,373,9.325,36,0.9,0.17586044318717586,0.09137055837563451
memberOf,51,1.275,17,0.425,0.024045261669024046,0.04314720812182741
participation,0,0.0,0,0.0,0.0,0.0
participational,0,0.0,0,0.0,0.0,0.0
subCollectionOf,13,0.325,4,0.1,0.006129184347006129,0.01015228426395939
subQuantityOf,0,0.0,0,0.0,0.0,0.0
termination,0,0.0,0,0.0,0.0,0.0
triggers,0,0.0,0,0.0,0.0,0.0
none_r,59,1.475,11,0.275,0.027817067421027818,0.027918781725888325
other_r,76,1.9,18,0.45,0.03583215464403583,0.04568527918781726
