Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,535,1,535,11.971358245692548
kind,510,2,1045,23.383307227567688
mediation,395,3,1440,32.221973595882744
role,313,4,1753,39.22577757887671
characterization,279,5,2032,45.46878496307899
relator,227,6,2259,50.548221078541054
material,225,7,2484,55.58290445289774
category,214,8,2698,60.371447751174756
event,208,9,2906,65.0257328261356
roleMixin,177,10,3083,68.98635041396287
phase,153,11,3236,72.40993510852539
quality,149,12,3385,75.74401432087716
participation,131,13,3516,78.67531886328038
mode,124,14,3640,81.44998881181472
componentOf,117,15,3757,84.0680241664802
type,66,16,3823,85.54486462295816
datatype,64,17,3887,86.97695233833073
externalDependence,63,18,3950,88.38666368315059
instantiation,61,19,4011,89.75162228686507
derivation,57,20,4068,91.02707540836876
situation,56,21,4124,92.28015215931975
creation,43,22,4167,93.2423360930857
enumeration,38,23,4205,94.09263817408817
memberOf,36,24,4241,94.89818751398523
collective,33,25,4274,95.63660774222421
manifestation,31,26,4305,96.3302752293578
historicalDependence,30,27,4335,97.00156634593868
historicalRole,23,28,4358,97.5162228686507
bringsAbout,23,29,4381,98.03087939136273
phaseMixin,20,30,4401,98.47840680241666
mixin,14,31,4415,98.79167599015439
comparative,13,32,4428,99.08256880733946
triggers,13,33,4441,99.37346162452451
historicalRoleMixin,9,34,4450,99.57484895949878
participational,9,35,4459,99.77623629447304
quantity,6,36,4465,99.91049451778922
termination,3,37,4468,99.9776236294473
abstract,1,38,4469,100.0
subQuantityOf,0,39,4469,100.0
subCollectionOf,0,40,4469,100.0
