stereotype,total_correlation_occurrence_wise,rank_total_correlation_occurrence_wise
category,3.989140311410094,8
datatype,1.8209299213570165,21
event,4.030780164991848,7
kind,4.480321266398154,4
mode,3.0637803037403453,17
phase,2.93233680934079,19
quality,3.585708664276048,13
relator,3.9379294649222416,9
role,3.7076494492262952,12
roleMixin,3.3136001699161746,16
situation,3.7838573106359448,11
subkind,3.5068429343774365,14
type,5.321282488934993,1
characterization,4.5414637182689095,3
componentOf,3.4483121320494794,15
derivation,2.6447389501737515,20
externalDependence,4.0516100327503946,6
instantiation,5.07902255138691,2
material,3.032543183852745,18
mediation,3.8710509232344954,10
participation,4.367239616659414,5
