Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.3922577757887671,4,0.26730310262529833
20.0,8,0.6037144775117476,8,0.4821002386634845
30.0,12,0.7574401432087715,12,0.6312649164677804
40.0,16,0.8554486462295816,16,0.7458233890214797
50.0,20,0.9102707540836876,20,0.8281622911694511
60.0,24,0.9489818751398523,24,0.89618138424821
70.0,28,0.975162228686507,28,0.9498806682577565
80.0,32,0.9908256880733946,32,0.9797136038186157
90.0,36,0.9991049451778922,36,0.9964200477326969
100.0,40,1.0,40,1.0
