stereotype,total_correlation_model_wise,rank_total_correlation_model_wise
category,3.9930811438230887,22
collective,3.820071326291581,26
datatype,2.6408802282137565,30
event,6.14815982307838,8
kind,6.594062294454132,5
mixin,2.691205672050597,29
mode,4.2697018740405515,20
phase,3.689378678364225,27
phaseMixin,3.5653682127452218,28
quality,4.2012514625523005,21
relator,4.647803009043984,15
role,4.327947850379344,19
roleMixin,4.342512122956981,18
situation,6.037723200318944,9
subkind,3.9442573367701144,24
type,7.522132608238664,2
bringsAbout,6.5160028900647315,6
characterization,5.383527132736903,12
componentOf,4.490293244626688,17
creation,4.5075154221403935,16
derivation,3.8757146600000096,25
externalDependence,5.599330986643388,11
historicalDependence,6.475981917361797,7
instantiation,7.669266012649976,1
manifestation,7.161829407342552,3
material,3.987050916447931,23
mediation,5.236500013798709,13
memberOf,4.702317746420563,14
participation,6.730223833305629,4
triggers,5.607548893967413,10
