stereotype,geometric_mean_correlation,rank
category,3.9911102412181263,12
datatype,2.192910811290458,21
event,4.97814028187878,5
kind,5.435394882600257,3
mode,3.616825749815532,17
phase,3.2891489632068196,19
quality,3.88129666092096,14
relator,4.2781678808186765,10
role,4.005809963507893,11
roleMixin,3.793329528065457,15
situation,4.779736715669922,7
subkind,3.71912502785516,16
type,6.326720519168467,1
characterization,4.944602425841829,6
componentOf,3.934962855212998,13
derivation,3.2016017118094875,20
externalDependence,4.763014339908554,8
instantiation,6.24118378441417,2
material,3.4771977338581155,18
mediation,4.502305877318081,9
participation,5.421485050592477,4
