Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,63,1,63,7.517899761336516
relator,57,2,120,14.319809069212411
subkind,53,3,173,20.644391408114558
category,51,4,224,26.730310262529834
role,50,5,274,32.69689737470167
mediation,50,6,324,38.66348448687351
characterization,46,7,370,44.1527446300716
mode,34,8,404,48.21002386634845
event,33,9,437,52.14797136038186
quality,33,10,470,56.085918854415276
roleMixin,30,11,500,59.665871121718375
material,29,12,529,63.126491646778035
phase,27,13,556,66.34844868735084
derivation,24,14,580,69.21241050119332
participation,23,15,603,71.95704057279237
componentOf,22,16,625,74.58233890214797
externalDependence,18,17,643,76.73031026252983
collective,18,18,661,78.8782816229117
datatype,17,19,678,80.90692124105013
type,16,20,694,82.81622911694511
creation,15,21,709,84.60620525059666
situation,14,22,723,86.27684964200478
memberOf,14,23,737,87.94749403341288
instantiation,14,24,751,89.618138424821
historicalDependence,13,25,764,91.16945107398568
mixin,11,26,775,92.48210023866349
manifestation,11,27,786,93.7947494033413
bringsAbout,10,28,796,94.98806682577565
phaseMixin,8,29,804,95.94272076372316
triggers,8,30,812,96.89737470167064
quantity,5,31,817,97.49403341288783
historicalRole,4,32,821,97.97136038186157
enumeration,4,33,825,98.44868735083531
comparative,4,34,829,98.92601431980907
participational,3,35,832,99.28400954653938
historicalRoleMixin,3,36,835,99.64200477326969
termination,2,37,837,99.88066825775657
abstract,1,38,838,100.0
subQuantityOf,0,39,838,100.0
subCollectionOf,0,40,838,100.0
