Stereotype,category,collective,datatype,enumeration,event,kind,mixin,mode,phase,quality,quantity,relator,role,situation,subkind,type
category,1.0,0.2037037037037037,-0.023688968483956716,-0.14085904245475275,0.10425720702853739,0.11744404390294069,0.2332892374559041,0.4739970491621009,0.36514837167011077,0.042257712736425826,0.08947924869885988,0.07597371763975863,0.11785113019775792,-0.023688968483956716,0.5185185185185185,0.3386670053338413
collective,0.2037037037037037,1.0,0.33164555877539403,-0.042257712736425826,-0.33014782225703504,0.13701805122009747,0.29414729940092255,0.422288280162599,0.1622881651867159,-0.042257712736425826,0.24287224646833397,0.1709408646894569,0.11785113019775792,-0.13028932666176193,0.08333333333333333,0.21166687833365083
datatype,-0.023688968483956716,0.33164555877539403,1.0,0.0900937462695559,0.07779698928301773,0.2503915429180672,0.4411494016915297,0.19843823866609064,-0.06487491201346025,0.0900937462695559,0.47420070662160324,-0.20652005056869158,0.0,0.21212121212121213,0.13028932666176193,0.13538259026847058
enumeration,-0.14085904245475275,-0.042257712736425826,0.0900937462695559,1.0,-0.11014177763285023,0.19851666679418606,0.21602468994692867,0.04370188612670307,0.015430334996209192,0.16428571428571428,0.37595815966025536,0.024078566516544362,0.05976143046671969,0.0900937462695559,0.042257712736425826,0.03756714418984553
event,0.10425720702853739,-0.33014782225703504,0.07779698928301773,-0.11014177763285023,1.0,-0.345903960984675,0.03806934938134405,0.21294496747348954,-0.08565603610802411,0.061679395474396125,-0.007996162762590017,-0.2881193767663155,-0.1843024451936214,0.5112373581455452,0.10425720702853739,0.22178136543293245
kind,0.11744404390294069,0.13701805122009747,0.2503915429180672,0.19851666679418606,-0.345903960984675,1.0,0.0428845013935118,0.042510208555811654,0.18225913092242513,-0.38214458357880815,0.2251886745555225,0.02342198415362776,0.45675013919556984,-0.23787196577216382,0.2446750914644598,0.007457704245544709
mixin,0.2332892374559041,0.29414729940092255,0.4411494016915297,0.21602468994692867,0.03806934938134405,0.0428845013935118,1.0,0.3776274560246805,0.4222222222222222,0.41661904489764817,0.5181036310903636,0.07282190812544191,0.3872983346207417,0.1037998592215364,0.10143010324169743,0.47533236815417246
mode,0.4739970491621009,0.422288280162599,0.19843823866609064,0.04370188612670307,0.21294496747348954,0.042510208555811654,0.3776274560246805,1.0,0.25489853281665936,-0.12673546976743888,0.2815775896170011,0.2062466393120523,0.07312724241271307,-0.08819477274048472,0.3619613829965134,0.32178399126805257
phase,0.36514837167011077,0.1622881651867159,-0.06487491201346025,0.015430334996209192,-0.08565603610802411,0.18225913092242513,0.4222222222222222,0.25489853281665936,1.0,0.015430334996209192,0.33606722016672236,0.07282190812544191,0.25819888974716115,-0.06487491201346025,0.36514837167011077,0.1739020859100631
quality,0.042257712736425826,-0.042257712736425826,0.0900937462695559,0.16428571428571428,0.061679395474396125,-0.38214458357880815,0.41661904489764817,-0.12673546976743888,0.015430334996209192,1.0,0.12315870747491124,0.024078566516544362,0.05976143046671969,0.32433748657040123,-0.14085904245475275,0.2468698046761278
quantity,0.08947924869885988,0.24287224646833397,0.47420070662160324,0.37595815966025536,-0.007996162762590017,0.2251886745555225,0.5181036310903636,0.2815775896170011,0.33606722016672236,0.12315870747491124,1.0,0.0699230178027249,0.2711630722733202,0.26162797606709143,0.08947924869885988,0.1850688368777999
relator,0.07597371763975863,0.1709408646894569,-0.20652005056869158,0.024078566516544362,-0.2881193767663155,0.02342198415362776,0.07282190812544191,0.2062466393120523,0.07282190812544191,0.024078566516544362,0.0699230178027249,1.0,0.16116459280507606,-0.048592953074986255,-0.047483573524849144,0.17729434412151449
role,0.11785113019775792,0.11785113019775792,0.0,0.05976143046671969,-0.1843024451936214,0.45675013919556984,0.3872983346207417,0.07312724241271307,0.25819888974716115,0.05976143046671969,0.2711630722733202,0.16116459280507606,1.0,-0.1507556722888818,0.11785113019775792,0.22450662753346862
situation,-0.023688968483956716,-0.13028932666176193,0.21212121212121213,0.0900937462695559,0.5112373581455452,-0.23787196577216382,0.1037998592215364,-0.08819477274048472,-0.06487491201346025,0.32433748657040123,0.26162797606709143,-0.048592953074986255,-0.1507556722888818,1.0,-0.17766726362967536,0.13538259026847058
subkind,0.5185185185185185,0.08333333333333333,0.13028932666176193,0.042257712736425826,0.10425720702853739,0.2446750914644598,0.10143010324169743,0.3619613829965134,0.36514837167011077,-0.14085904245475275,0.08947924869885988,-0.047483573524849144,0.11785113019775792,-0.17766726362967536,1.0,0.3386670053338413
type,0.3386670053338413,0.21166687833365083,0.13538259026847058,0.03756714418984553,0.22178136543293245,0.007457704245544709,0.47533236815417246,0.32178399126805257,0.1739020859100631,0.2468698046761278,0.1850688368777999,0.17729434412151449,0.22450662753346862,0.13538259026847058,0.3386670053338413,1.0
