Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.3786588350465002,2,0.22170900692840648
20.0,4,0.6559960841899168,4,0.4226327944572748
30.0,6,0.7693587860988742,6,0.5866050808314087
40.0,8,0.868918257464513,8,0.710161662817552
50.0,10,0.9259911894273127,10,0.8083140877598153
60.0,12,0.9597650513950073,12,0.8787528868360277
70.0,14,0.9766030347528145,14,0.9341801385681293
80.0,16,0.9905041605482134,16,0.9722863741339491
90.0,18,0.9970631424375918,18,0.9907621247113164
100.0,21,1.0,21,1.0
