Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.32344565733270053,2,0.21825396825396826
20.0,4,0.5035595633602278,4,0.4126984126984127
30.0,6,0.6473659231134314,6,0.5687830687830688
40.0,9,0.7978168011390603,9,0.7367724867724867
50.0,11,0.8782629330802089,11,0.8134920634920635
60.0,13,0.9221642145230186,13,0.8677248677248677
70.0,16,0.9674893213099193,16,0.9378306878306878
80.0,18,0.9843379212149976,18,0.9695767195767195
90.0,20,0.9938300901756051,20,0.9894179894179894
100.0,23,1.0,23,1.0
