stereotype,total_correlation,rank
category,3.8251850684143083,6
collective,2.716697153796433,17
event,3.9661815831580114,4
kind,4.292739624961593,2
mode,3.448065714400406,11
phase,2.424798073148355,18
quality,3.843057635786648,5
relator,3.0213922772463393,15
role,2.843095789803849,16
roleMixin,4.58567670762936,1
situation,3.17634392067723,13
subkind,3.4581892958299094,10
type,3.0611141444143732,14
characterization,4.098054817123064,3
componentOf,3.2942479648329113,12
derivation,3.6291225557116347,9
material,3.7228709434614338,8
mediation,3.7575076998018906,7
