Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.4384858044164038,4,0.3371647509578544
20.0,8,0.6876971608832808,8,0.5823754789272031
30.0,12,0.8414826498422713,12,0.7547892720306514
40.0,16,0.9085173501577287,16,0.8505747126436781
50.0,20,0.9503154574132492,20,0.9195402298850575
60.0,24,0.9779179810725552,24,0.9655172413793104
70.0,28,0.9944794952681388,28,0.9885057471264368
80.0,32,1.0,32,1.0
90.0,36,1.0,36,1.0
100.0,40,1.0,40,1.0
