Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
kind,168,1,168,13.249211356466878
subkind,150,2,318,25.0788643533123
event,138,3,456,35.96214511041009
role,100,4,556,43.84858044164038
relator,86,5,642,50.63091482649842
mediation,86,6,728,57.413249211356465
category,79,7,807,63.6435331230284
mode,65,8,872,68.76971608832808
roleMixin,57,9,929,73.26498422712933
material,51,10,980,77.28706624605678
characterization,46,11,1026,80.91482649842271
componentOf,41,12,1067,84.14826498422713
type,24,13,1091,86.04100946372239
phase,24,14,1115,87.93375394321767
derivation,21,15,1136,89.58990536277602
collective,16,16,1152,90.85173501577287
participation,15,17,1167,92.03470031545741
situation,15,18,1182,93.21766561514195
quality,13,19,1195,94.2429022082019
quantity,10,20,1205,95.03154574132492
enumeration,10,21,1215,95.82018927444796
memberOf,10,22,1225,96.60883280757098
externalDependence,8,23,1233,97.2397476340694
datatype,7,24,1240,97.79179810725552
subCollectionOf,7,25,1247,98.34384858044164
mixin,6,26,1253,98.81703470031546
historicalDependence,5,27,1258,99.21135646687698
bringsAbout,3,28,1261,99.44794952681389
manifestation,3,29,1264,99.6845425867508
triggers,2,30,1266,99.84227129337539
instantiation,2,31,1268,100.0
abstract,0,32,1268,100.0
historicalRoleMixin,0,33,1268,100.0
historicalRole,0,34,1268,100.0
comparative,0,35,1268,100.0
phaseMixin,0,36,1268,100.0
creation,0,37,1268,100.0
participational,0,38,1268,100.0
subQuantityOf,0,39,1268,100.0
termination,0,40,1268,100.0
