stereotype,total_correlation,rank
bringsAbout,2.529966036830849,11
characterization,2.8003725475929095,8
componentOf,2.2023756166751336,12
creation,2.925095007712435,7
derivation,2.095286300190751,13
externalDependence,3.0586715091133896,5
formal,1.4279688852271273,14
historicalDependence,3.3057203759205795,4
instantiation,3.969591100814706,2
manifestation,3.9854888938577404,1
material,2.776926197186889,9
mediation,2.5347267958046875,10
memberOf,2.983574119066472,6
participation,3.7340496147966027,3
