Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
mediation,57,1,57,20.0
characterization,54,2,111,38.94736842105263
material,35,3,146,51.2280701754386
derivation,29,4,175,61.40350877192983
participation,28,5,203,71.2280701754386
creation,19,6,222,77.89473684210526
instantiation,17,7,239,83.85964912280703
manifestation,12,8,251,88.0701754385965
formal,12,9,263,92.28070175438596
triggers,9,10,272,95.43859649122807
comparative,5,11,277,97.19298245614036
participational,4,12,281,98.59649122807016
termination,4,13,285,100.0
bringsAbout,0,14,285,100.0
componentOf,0,15,285,100.0
externalDependence,0,16,285,100.0
historicalDependence,0,17,285,100.0
memberOf,0,18,285,100.0
subQuantityOf,0,19,285,100.0
subCollectionOf,0,20,285,100.0
