stereotype,total_correlation,rank
bringsAbout,2.848747319769098,8
characterization,2.8980790982434206,7
componentOf,2.2189255895069984,13
creation,2.832147465899819,9
derivation,2.2180981679463314,14
externalDependence,3.1243815340255567,5
formal,1.5732079167344732,15
historicalDependence,3.375268773973528,4
instantiation,3.973119710045303,2
manifestation,4.0776543216857135,1
material,2.815819366208064,10
mediation,2.44043214447967,12
memberOf,3.0012523920589667,6
participation,3.7523874643305115,3
triggers,2.5756087070947418,11
