Stereotype,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
bringsAbout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
characterization,0.0,2.3255079231829816,0.1650902374025392,0.0,0.4303760761969286,0.3933409700342337,0.0,0.20176977615871614,0.0,0.4423557818234552,0.3328843179543309,0.8705262257943465,1.0361199481422647,0.0,0.6669901246043073,0.11016686646184409,0.0,0.0,0.0970832587143731,0.27587952877236044
comparative,0.0,0.1650902374025392,0.3049516237717111,0.0,0.10604682166395388,0.10165521985924733,0.0,0.009484234380742203,0.0,0.01393044204219767,0.044755399551043844,0.2719446151736187,0.18979502232978623,0.0,0.1361507093416639,0.0029965297530514315,0.0,0.0,0.11341456078151008,0.03974858803527096
componentOf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
creation,0.0,0.4303760761969286,0.10604682166395388,0.0,0.9532967643828179,0.18729239530156522,0.0,0.07242188529041368,0.0,0.31409112293907593,0.2575800759773289,0.3040490138337753,0.5378420429465327,0.0,0.6337803818545233,0.14966093621332766,0.0,0.0,0.16487937346792986,0.050567423270294225
derivation,0.0,0.3933409700342337,0.10165521985924733,0.0,0.18729239530156522,1.1448326085325327,0.0,0.08113689411129768,0.0,0.08679078460265954,0.05139430198458935,0.6518163804766405,0.658196914903774,0.0,0.19126863744244504,0.020788838215267537,0.0,0.0,0.06039083981006391,0.067015594102899
externalDependence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formal,0.0,0.20176977615871614,0.009484234380742203,0.0,0.07242188529041368,0.08113689411129768,0.0,0.6135634493379477,0.0,0.15539056345083277,0.16775589882253197,0.17295275840119773,0.2306635940950188,0.0,0.1751175274885457,0.007536234663655425,0.0,0.0,0.007536234663655425,0.04157563643201435
historicalDependence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instantiation,0.0,0.4423557818234552,0.01393044204219767,0.0,0.31409112293907593,0.08679078460265954,0.0,0.15539056345083277,0.0,0.909854903836559,0.4637695087930348,0.19932668369786288,0.45083270547703536,0.0,0.4494691361097549,0.071927000024532,0.0,0.0,0.09465964889220391,0.11247541321266367
manifestation,0.0,0.3328843179543309,0.044755399551043844,0.0,0.2575800759773289,0.05139430198458935,0.0,0.16775589882253197,0.0,0.4637695087930348,0.6433493078818875,0.11035069631290137,0.30800639415511255,0.0,0.386908442821815,0.007536234663655418,0.0,0.0,0.06976034020217498,0.12360215785945741
material,0.0,0.8705262257943465,0.2719446151736187,0.0,0.3040490138337753,0.6518163804766405,0.0,0.17295275840119773,0.0,0.19932668369786288,0.11035069631290137,1.7582750438663777,1.0182968805872092,0.0,0.4423192315901165,0.04798367464230933,0.0,0.0,0.1249753409614281,0.13364726106963082
mediation,0.0,1.0361199481422647,0.18979502232978623,0.0,0.5378420429465327,0.658196914903774,0.0,0.2306635940950188,0.0,0.45083270547703536,0.30800639415511255,1.0182968805872092,2.4237913760475074,0.0,0.7008936294718559,0.1900369115982092,0.0,0.0,0.1342972541324447,0.17614141522672666
memberOf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
participation,0.0,0.6669901246043073,0.1361507093416639,0.0,0.6337803818545233,0.19126863744244504,0.0,0.1751175274885457,0.0,0.4494691361097549,0.386908442821815,0.4423192315901165,0.7008936294718559,0.0,1.3987046408727577,0.20089437658049591,0.0,0.0,0.14837586916888423,0.19607402753430037
participational,0.0,0.11016686646184409,0.0029965297530514315,0.0,0.14966093621332766,0.020788838215267537,0.0,0.007536234663655425,0.0,0.071927000024532,0.007536234663655418,0.04798367464230933,0.1900369115982092,0.0,0.20089437658049591,0.24095459485485637,0.0,0.0,0.04941753186465614,0.02198245123868712
subCollectionOf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subQuantityOf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
termination,0.0,0.0970832587143731,0.11341456078151008,0.0,0.16487937346792986,0.06039083981006391,0.0,0.007536234663655425,0.0,0.09465964889220391,0.06976034020217498,0.1249753409614281,0.1342972541324447,0.0,0.14837586916888423,0.04941753186465614,0.0,0.0,0.24095459485485637,0.02198245123868712
triggers,0.0,0.27587952877236044,0.03974858803527096,0.0,0.050567423270294225,0.067015594102899,0.0,0.04157563643201435,0.0,0.11247541321266367,0.12360215785945741,0.13364726106963082,0.17614141522672666,0.0,0.19607402753430037,0.02198245123868712,0.0,0.0,0.02198245123868712,0.4408806685647646
