Stereotype,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
bringsAbout,1.0,0.2481930402155824,0.09542566612524443,0.13324370950909184,0.007467127117510299,0.11793107693779274,-0.051625491525925014,0.2965375503514424,0.18657622801578944,0.2610308253762454,0.2132064103805604,-0.16264220624312412,-0.042548482666526805,0.4304292876372907
characterization,0.2481930402155824,1.0,0.26771819776905575,0.1606364691954403,-0.0054240258278319305,0.29240858225351796,0.019184763776336346,0.17111159545782448,0.26386654944943333,0.2873054478075779,0.25784429051115754,0.24859914778846143,0.1904576365804042,0.29321035296066755
componentOf,0.09542566612524443,0.26771819776905575,1.0,0.08276893532108665,0.0730627142919735,-0.005765687148434141,-0.00958886186372223,0.12957653265533825,0.19811293063036825,0.11851468330683088,0.3908324255912198,0.3628839171528699,0.3852290235149377,0.06646950731215213
creation,0.13324370950909184,0.1606364691954403,0.08276893532108665,1.0,0.03354741667680042,0.24139157475761824,-0.05838911147270181,0.33543620517963,0.3540275842769026,0.36424004543826577,0.01354448660603189,0.23506162992339594,0.30527257846680705,0.7035332249102307
derivation,0.007467127117510299,-0.0054240258278319305,0.0730627142919735,0.03354741667680042,1.0,-0.17287076960683723,0.024357087263037654,-0.12032872435313302,-0.20768386444708486,-0.2344591728454283,0.44125015061137335,0.3888249430510611,0.21873069521918176,-0.05126760015611664
externalDependence,0.11793107693779274,0.29240858225351796,-0.005765687148434141,0.24139157475761824,-0.17287076960683723,1.0,0.14850457851332727,0.31521213920224256,0.525216941189855,0.4416746600409491,-0.273142678160828,0.04130145433374489,0.15543704550125767,0.2634862684193084
formal,-0.051625491525925014,0.019184763776336346,-0.00958886186372223,-0.05838911147270181,0.024357087263037654,0.14850457851332727,1.0,0.08105936313769557,0.2166717314157814,0.3171882723769123,0.07478137040732254,-0.007558062208054411,0.23301525014085922,0.05421442100989793
historicalDependence,0.2965375503514424,0.17111159545782448,0.12957653265533825,0.33543620517963,-0.12032872435313302,0.31521213920224256,0.08105936313769557,1.0,0.4999410835012333,0.4235707607899599,0.04547162691913169,0.09002396794936707,0.18111061560232053,0.5482248778056891
instantiation,0.18657622801578944,0.26386654944943333,0.19811293063036825,0.3540275842769026,-0.20768386444708486,0.525216941189855,0.2166717314157814,0.4999410835012333,1.0,0.7294878050664909,-0.11366048406369816,0.08183771443841835,0.1447881487813305,0.44419456013806563
manifestation,0.2610308253762454,0.2873054478075779,0.11851468330683088,0.36424004543826577,-0.2344591728454283,0.4416746600409491,0.3171882723769123,0.4235707607899599,0.7294878050664909,1.0,-0.1403818895223541,-0.03034698843395258,0.05699138762418225,0.49021470204382794
material,0.2132064103805604,0.25784429051115754,0.3908324255912198,0.01354448660603189,0.44125015061137335,-0.273142678160828,0.07478137040732254,0.04547162691913169,-0.11366048406369816,-0.1403818895223541,1.0,0.4336543789841676,0.32164461472289313,0.019155428941472027
mediation,-0.16264220624312412,0.24859914778846143,0.3628839171528699,0.23506162992339594,0.3888249430510611,0.04130145433374489,-0.007558062208054411,0.09002396794936707,0.08183771443841835,-0.03034698843395258,0.4336543789841676,1.0,0.46465189397038237,0.08527854707540863
memberOf,-0.042548482666526805,0.1904576365804042,0.3852290235149377,0.30527257846680705,0.21873069521918176,0.15543704550125767,0.23301525014085922,0.18111061560232053,0.1447881487813305,0.05699138762418225,0.32164461472289313,0.46465189397038237,1.0,0.2661226035909027
participation,0.4304292876372907,0.29321035296066755,0.06646950731215213,0.7035332249102307,-0.05126760015611664,0.2634862684193084,0.05421442100989793,0.5482248778056891,0.44419456013806563,0.49021470204382794,0.019155428941472027,0.08527854707540863,0.2661226035909027,1.0
