Stereotype,DistanceFromOrigin,Rank
mediation,1967.000102938146,1
material,623.000159844862,2
characterization,558.000282997618,3
componentOf,551.0001255083565,4
derivation,219.00023718331119,5
participation,211.00013611709258,6
memberOf,203.00016166888406,7
externalDependence,77.00021466107246,8
instantiation,69.00014303672754,9
creation,60.000184413349544,10
historicalDependence,44.00019869437475,11
comparative,37.00003322766669,12
manifestation,34.00014463783584,13
bringsAbout,30.000163922781443,14
subCollectionOf,27.000045534191962,15
participational,17.00003214177928,16
triggers,16.000213440281154,17
subQuantityOf,14.000039029285903,18
termination,5.000061470833117,19
