stereotype,total_correlation,rank
category,3.5959017624903407,11
datatype,1.6612786291564068,21
event,3.961048559685077,7
kind,4.520673497477976,5
mode,3.0218125022974265,16
phase,2.205703845324177,20
quality,3.5607953388278526,12
relator,3.541155991443264,13
role,3.2775985914138728,14
roleMixin,3.6312196613153525,9
situation,3.623522399212492,10
subkind,3.000152830312474,17
type,4.794661978631179,2
characterization,4.582802760192744,4
componentOf,2.876804772909225,18
derivation,2.50032111326004,19
externalDependence,4.254471445694647,6
instantiation,4.995116636741733,1
material,3.0318282314405725,15
mediation,3.865862195493122,8
participation,4.585740680046956,3
