stereotype,total_correlation,rank
category,3.6136503554729655,20
collective,3.468536158260471,22
datatype,2.285928006090384,28
event,5.484559226634183,9
kind,5.220144860218049,10
mixin,2.4156160716811086,27
mode,4.218500062976178,15
phase,2.8803648746263817,26
quality,4.417379965626752,13
relator,3.8579159158062186,17
role,3.7535330254550727,18
roleMixin,3.891068911501817,16
situation,5.124145311750403,11
subkind,3.270124318260459,23
type,6.477194374824548,4
bringsAbout,5.773040003967851,6
characterization,5.4999991340773535,8
componentOf,3.1864200495398096,25
creation,4.346960304354955,14
derivation,3.2625240211609823,24
externalDependence,5.7502143441235285,7
historicalDependence,6.119860738282059,5
instantiation,6.823957046918764,1
manifestation,6.642194002900256,3
material,3.6069418689461754,21
mediation,4.573908573809364,12
memberOf,3.691423780335162,19
participation,6.714552355392704,2
