model,x_value,y_value,quadrant
abel2015petroleum-system,0,9,Q4
abrahao2018agriculture-operations,0,29,Q1
aguiar2018rdbs-o,0,29,Q1
aguiar2019ooco,0,14,Q1
aires2022valuenetworks-geo,0,29,Q1
alpinebits2022,0,3,Q4
amaral2019rot,0,15,Q1
amaral2020game-theory,0,8,Q4
amaral2020rome,0,20,Q1
amaral2022ethical-requirements,0,14,Q1
andersson2018value-ascription,0,14,Q1
andrade2023integracao,1,0,Q4
barcelos2013normative-acts,0,0,Q4
barcelos2024resiliont,0,13,Q1
barros2020programming,0,0,Q4
bernasconi2021ontovcm,0,5,Q4
bernasconi2023fair-principles,0,0,Q4
brazilian-governmental-organizational-structures,0,0,Q4
buchtela2020connection,0,13,Q1
buridan-ontology2021,0,18,Q1
carolla2014campus-management,0,10,Q4
castro2012cloudvulnerability,0,1,Q4
cgts2021sebim,0,8,Q4
cmpo2017,2,60,Q1
core-o2023,0,28,Q1
dcat-mlt-ufo2023,6,22,Q1
demori2023miscon,0,14,Q1
dpo2017,0,44,Q1
duarte2020jogabilidade,0,6,Q4
elghosh2020cargos,0,5,Q4
elghosh2024eucaim,0,0,Q4
elikan2018brand-identity,0,7,Q4
eu-rent-refactored2022,0,2,Q4
falduci2022non-consensual-pornography,0,7,Q4
fernandez-cejas2022curie-o,0,3,Q4
fischer2018ontorea,0,4,Q4
fonseca2022incorporating,0,0,Q4
formula-one2023,0,3,Q4
fraller2019abc,0,12,Q1
franco2018rpg,0,12,Q1
fumagalli2022criminal-investigation,0,0,Q4
gailly2016value,0,15,Q1
garcia2022human-genome-events,0,1,Q4
gomes2022digital-technology,0,12,Q1
grueau2013towards,7,3,Q4
guarino2016value,0,12,Q1
guarino2018rea,0,8,Q4
guizzardi2005ontological,0,4,Q4
guizzardi2020decision-making,24,33,Q1
guizzardi2022ufo,0,3,Q4
haridy2021egyptian-e-government,0,0,Q4
heirbrant2023boekbazaar,0,40,Q1
jacobs2022sdpontology,0,22,Q1
junior2018o4c,0,0,Q4
khantong2020ontology,0,22,Q1
kostov2017towards,6,32,Q1
laurier2018rea,0,17,Q1
lindeberg2022simple-ontorights,0,7,Q4
machacova2023gym,0,0,Q4
maddalena2021ontocovid,0,58,Q1
martinez2013human-genome,0,0,Q4
moreira2018saref4health,1,2,Q4
nardi2015ufo-s,0,0,Q4
nascimento2023spacecon,2,15,Q1
neves2020nwpontology,0,22,Q1
neves2021grain-production,0,16,Q1
niederkofler2019dssapple,0,4,Q4
oliveira2007collaboration,0,20,Q1
oliveira2022rose,0,41,Q1
pereira2015doacao-orgaos,0,3,Q4
pereira2020ontotrans,0,67,Q1
piest2024dsr-kb,0,0,Q4
pinheiro2024api,0,4,Q4
plato-ontology2019,0,26,Q1
porello2020coex,0,11,Q4
ppo-o2021,0,29,Q1
public-expense-ontology2020,0,20,Q1
quality-assurance-process-ontology2017,21,27,Q1
ramirez2015userfeedback,0,8,Q4
ramos2021bias,0,6,Q4
repa2021public-administration,0,7,Q4
rocha2023ciencia-aberta,0,16,Q1
rodrigues2017urinary-profiles,0,21,Q1
romanenko2023what,0,5,Q4
sales2018competition,0,31,Q1
sales2018cover,0,13,Q1
santos2020valuenetworks,0,6,Q4
sariev2024maritime,0,32,Q1
sikora2021online-education,1,13,Q1
silva2012itarchitecture,0,27,Q1
silva2021sebim,0,19,Q1
silveira2021oap,0,6,Q4
spmo2017,17,25,Q1
tesolin2023hint,18,39,Q1
valaski2020medical-appointment,0,0,Q4
van-wingerde2020smart-contracts,0,42,Q1
vieira2020weathering,2,44,Q1
weigand2021artifact,4,2,Q4
zanetti2019orm-o,0,4,Q4
zhou2017hazard-ontology-robotic-strolling,0,14,Q1
zhou2017hazard-ontology-train-control,0,30,Q1
