Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.3887680442950366,2,0.2143845089903181
20.0,4,0.5635752422384813,4,0.4066390041493776
30.0,6,0.690725726715444,6,0.5643153526970954
40.0,8,0.8012655724737987,8,0.6929460580912863
50.0,10,0.8947992881154835,10,0.8022130013831259
60.0,12,0.9373146134071584,12,0.8699861687413555
70.0,14,0.965789994067629,14,0.9253112033195021
80.0,16,0.9857623096697646,16,0.9585062240663901
90.0,18,0.9934743919319755,18,0.9806362378976486
100.0,21,1.0,21,1.0
