Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,1044,1,1044,20.644650978841213
kind,922,2,1966,38.87680442950366
role,447,3,2413,47.71603717619142
event,437,4,2850,56.35752422384813
relator,344,5,3194,63.15997627051612
category,299,6,3493,69.07257267154439
roleMixin,280,7,3773,74.60945224441369
mode,279,8,4052,80.12655724737986
quality,253,9,4305,85.12952343286534
phase,220,10,4525,89.47992881154835
type,129,11,4654,92.03084832904884
situation,86,12,4740,93.73146134071584
datatype,80,13,4820,95.3134269329642
collective,64,14,4884,96.5789994067629
historicalRole,51,15,4935,97.58750247182124
enumeration,50,16,4985,98.57623096697647
phaseMixin,20,17,5005,98.97172236503856
mixin,19,18,5024,99.34743919319754
historicalRoleMixin,18,19,5042,99.70338145145344
quantity,13,20,5055,99.96045086019379
abstract,2,21,5057,100.0
