Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.3675879603050931,2,0.23493975903614459
20.0,4,0.6453702944312311,4,0.4449225473321859
30.0,6,0.7461658328549168,6,0.5886402753872634
40.0,9,0.8659886820306734,9,0.7504302925989673
50.0,11,0.9192159435741819,11,0.8364888123924269
60.0,13,0.9534158943656196,13,0.8907056798623064
70.0,16,0.9799065037316493,16,0.9500860585197934
80.0,18,0.9918805872221766,18,0.9776247848537005
90.0,20,0.997457557615025,20,0.9922547332185886
100.0,23,1.0,23,1.0
