Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none,1668,1,1668,45.04455846610856
mediation,481,2,2149,58.034026465028354
characterization,325,3,2474,66.81069403186606
material,276,4,2750,74.26411018093437
other,206,5,2956,79.82716716176074
componentOf,158,6,3114,84.0939778557926
participation,146,7,3260,88.03672697812584
derivation,78,8,3338,90.1431271941669
externalDependence,71,9,3409,92.06049149338375
instantiation,63,10,3472,93.76181474480151
memberOf,46,11,3518,95.00405076964623
creation,43,12,3561,96.1652714015663
historicalDependence,35,13,3596,97.11045098568728
manifestation,34,14,3630,98.02862543883339
bringsAbout,26,15,3656,98.7307588441804
triggers,15,16,3671,99.13583580880368
comparative,13,17,3684,99.48690251147718
participational,9,18,3693,99.72994869025115
subCollectionOf,7,19,3700,99.91898460707534
termination,3,20,3703,100.0
subQuantityOf,0,21,3703,100.0
