Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none,88,1,88,17.922606924643585
mediation,63,2,151,30.75356415478615
characterization,56,3,207,42.15885947046843
material,42,4,249,50.71283095723014
componentOf,32,5,281,57.23014256619145
derivation,30,6,311,63.34012219959266
other,28,7,339,69.04276985743381
participation,25,8,364,74.13441955193483
memberOf,20,9,384,78.20773930753563
externalDependence,20,10,404,82.28105906313645
instantiation,15,11,419,85.33604887983707
creation,15,12,434,88.39103869653768
historicalDependence,14,13,448,91.24236252545825
manifestation,12,14,460,93.68635437881873
bringsAbout,11,15,471,95.9266802443992
triggers,9,16,480,97.75967413441956
comparative,4,17,484,98.57433808553971
participational,3,18,487,99.18533604887983
subCollectionOf,2,19,489,99.59266802443992
termination,2,20,491,100.0
subQuantityOf,0,21,491,100.0
