Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.5779467680608364,2,0.3075356415478615
20.0,4,0.7411732753938077,4,0.5071283095723014
30.0,6,0.8400325909831613,6,0.6334012219959266
40.0,8,0.9008690928843021,8,0.7413441955193483
50.0,10,0.9372623574144486,10,0.8228105906313645
60.0,12,0.9614340032590983,12,0.8839103869653768
70.0,14,0.9801738185768604,14,0.9368635437881874
80.0,16,0.9913090711569799,16,0.9775967413441955
90.0,18,0.9972840847365562,18,0.9918533604887984
100.0,21,1.0,21,1.0
