Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,1,0.38787295476419636,1,0.15328467153284672
20.0,3,0.6354186717998075,3,0.40145985401459855
30.0,5,0.7928777670837344,5,0.5602189781021898
40.0,7,0.8744947064485081,7,0.6861313868613139
50.0,9,0.9187680461982676,9,0.7828467153284672
60.0,11,0.951106833493744,11,0.8631386861313869
70.0,13,0.9697786333012512,13,0.927007299270073
80.0,15,0.9846005774783445,15,0.9616788321167883
90.0,17,0.9938402309913378,17,0.9835766423357665
100.0,19,1.0,19,1.0
