Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,2015,1,2015,38.78729547641964
material,661,2,2676,51.511068334937434
characterization,625,3,3301,63.54186717998075
componentOf,554,4,3855,74.20596727622714
participation,264,5,4119,79.28777670837344
derivation,220,6,4339,83.52261790182868
memberOf,204,7,4543,87.44947064485082
externalDependence,123,8,4666,89.81713185755534
creation,107,9,4773,91.87680461982676
instantiation,97,10,4870,93.74398460057748
manifestation,71,11,4941,95.1106833493744
historicalDependence,58,12,4999,96.22714148219443
bringsAbout,39,13,5038,96.97786333012513
termination,39,14,5077,97.72858517805582
comparative,38,15,5115,98.46005774783445
subCollectionOf,27,16,5142,98.97978825794033
triggers,21,17,5163,99.38402309913378
participational,18,18,5181,99.73051010587103
subQuantityOf,14,19,5195,100.0
