Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
mediation,84,1,84,15.328467153284672
characterization,78,2,162,29.56204379562044
material,58,3,220,40.14598540145985
componentOf,47,4,267,48.722627737226276
derivation,40,5,307,56.02189781021898
participation,37,6,344,62.77372262773723
memberOf,32,7,376,68.61313868613139
externalDependence,28,8,404,73.72262773722628
creation,25,9,429,78.28467153284672
historicalDependence,22,10,451,82.2992700729927
instantiation,22,11,473,86.3138686131387
manifestation,20,12,493,89.96350364963503
bringsAbout,15,13,508,92.7007299270073
triggers,12,14,520,94.8905109489051
comparative,7,15,527,96.16788321167883
termination,6,16,533,97.26277372262774
subCollectionOf,6,17,539,98.35766423357664
participational,5,18,544,99.27007299270073
subQuantityOf,4,19,548,100.0
