Group,Support (Model Count),Coverage (%),Total Occurrences,Average Occurrences per Model
sortal,37,94.87179487179486,4835,123.97435897435898
non_sortal,30,76.92307692307693,722,18.512820512820515
rigid,38,97.43589743589743,3426,87.84615384615384
non_rigid,33,84.61538461538461,1992,51.07692307692308
abstracts,9,23.076923076923077,35,0.8974358974358975
temporal,16,41.02564102564102,171,4.384615384615385
other,10,25.64102564102564,70,1.794871794871795
none,8,20.51282051282051,245,6.282051282051282
rigid_sortal,37,94.87179487179486,3114,79.84615384615384
rigid_non_sortal,27,69.23076923076923,312,8.0
non_rigid_sortal,27,69.23076923076923,1582,40.56410256410256
non_rigid_non_sortal,22,56.41025641025641,410,10.512820512820513
undef,15,38.46153846153847,315,8.076923076923077
