Stereotype,x_value,y_value,quadrant
abstract,9.341429238673515e-05,0.001101321585903,Q3
category,0.0543671181690798,0.0947136563876652,Q1
collective,0.012330686595049,0.0385462555066079,Q2
datatype,0.0082204577300326,0.0286343612334801,Q2
enumeration,0.0058851004203643,0.0088105726872246,Q3
event,0.0442783745913124,0.0583700440528634,Q1
historicalRole,0.0021485287248949,0.0044052863436123,Q3
historicalRoleMixin,0.0008407286314806,0.0033039647577092,Q3
kind,0.148155067725362,0.1112334801762114,Q1
mixin,0.0078468005604857,0.0242290748898678,Q3
mode,0.0507239607659971,0.0638766519823788,Q1
phase,0.031013545072396,0.0451541850220264,Q1
phaseMixin,0.0018682858477347,0.0088105726872246,Q3
quality,0.0234469873890705,0.0484581497797356,Q1
quantity,0.0041102288650163,0.013215859030837,Q3
relator,0.1164876226062587,0.1002202643171806,Q1
role,0.1723493694535263,0.092511013215859,Q1
roleMixin,0.0538066324147594,0.0594713656387665,Q1
situation,0.007379729098552,0.0231277533039647,Q3
subkind,0.1889771134983652,0.0969162995594713,Q1
type,0.0198972442783745,0.0286343612334801,Q1
none,0.0354974311069593,0.0253303964757709,Q4
other,0.0102755721625408,0.0209251101321585,Q3
