Stereotype,characterization,componentOf,creation,derivation,externalDependence,formal,instantiation,material,mediation,memberOf,participation,none,other
characterization,1.0,0.25369174243627185,0.23077612232016503,0.036120289049959065,0.41364626674733745,0.09859576488811385,0.3190310553754235,0.19924856807228286,0.35360922862515587,0.1900500765007731,0.38513413551667286,0.0060478849802401815,0.10591342540670123
componentOf,0.25369174243627185,1.0,0.044969161049994544,0.20118872658465192,-0.05397438289668525,0.1575413063930021,0.11297408035183577,0.40413895089906526,0.35810120438148296,0.43805505228565583,0.004049581779434303,-0.1564335297479554,0.14571720614521474
creation,0.23077612232016503,0.044969161049994544,1.0,-0.006574216424106212,0.32640170391461654,-0.10489767224984531,0.4112654057993126,0.0189515533544545,0.1915124845649209,0.12601281955040958,0.7281009282652433,0.0010240859970865302,-0.06880210346648563
derivation,0.036120289049959065,0.20118872658465192,-0.006574216424106212,1.0,-0.16606317114580388,0.18921702867533985,-0.1498426243866233,0.4876105707347326,0.4079359553405686,0.2706753552558067,-0.07637392588994227,-0.015118300855893047,0.27772697164229787
externalDependence,0.41364626674733745,-0.05397438289668525,0.32640170391461654,-0.16606317114580388,1.0,0.053257970996073316,0.4959535682719219,-0.18114848210449083,0.11161506849283376,0.07588943486805144,0.4072281447389415,0.0182452404675913,-0.02798525784314028
formal,0.09859576488811385,0.1575413063930021,-0.10489767224984531,0.18921702867533985,0.053257970996073316,1.0,0.021763352031145527,0.16825751814675902,0.17007089248360222,0.35262666833685896,-0.028798963898580925,-0.23524570231211805,0.15760030584707038
instantiation,0.3190310553754235,0.11297408035183577,0.4112654057993126,-0.1498426243866233,0.4959535682719219,0.021763352031145527,1.0,-0.10911725759650137,0.06683209625803689,0.03009776474558513,0.5433383299380928,-0.046628920581593326,-0.11963855428137131
material,0.19924856807228286,0.40413895089906526,0.0189515533544545,0.4876105707347326,-0.18114848210449083,0.16825751814675902,-0.10911725759650137,1.0,0.4263296445270028,0.28550364915564563,-0.018365239640337316,-0.18427086582854288,0.12618750695125763
mediation,0.35360922862515587,0.35810120438148296,0.1915124845649209,0.4079359553405686,0.11161506849283376,0.17007089248360222,0.06683209625803689,0.4263296445270028,1.0,0.43083346862883626,0.08794188616165491,-0.22887673351105642,0.14403709578885046
memberOf,0.1900500765007731,0.43805505228565583,0.12601281955040958,0.2706753552558067,0.07588943486805144,0.35262666833685896,0.03009776474558513,0.28550364915564563,0.43083346862883626,1.0,0.10654915702883536,-0.18203154871004396,0.10620373974795637
participation,0.38513413551667286,0.004049581779434303,0.7281009282652433,-0.07637392588994227,0.4072281447389415,-0.028798963898580925,0.5433383299380928,-0.018365239640337316,0.08794188616165491,0.10654915702883536,1.0,0.00891875096500869,-0.013212063065191036
none,0.0060478849802401815,-0.1564335297479554,0.0010240859970865302,-0.015118300855893047,0.0182452404675913,-0.23524570231211805,-0.046628920581593326,-0.18427086582854288,-0.22887673351105642,-0.18203154871004396,0.00891875096500869,1.0,0.17146889226589843
other,0.10591342540670123,0.14571720614521474,-0.06880210346648563,0.27772697164229787,-0.02798525784314028,0.15760030584707038,-0.11963855428137131,0.12618750695125763,0.14403709578885046,0.10620373974795637,-0.013212063065191036,0.17146889226589843,1.0
