Stereotype,average_quantity,rank,proportion
bringsAbout,0,10,0.0
characterization,4,4,0.06451612903225806
comparative,0,10,0.0
componentOf,4,4,0.06451612903225806
creation,0,10,0.0
derivation,1,7,0.016129032258064516
externalDependence,0,10,0.0
historicalDependence,0,10,0.0
instantiation,0,10,0.0
manifestation,0,10,0.0
material,5,3,0.08064516129032258
mediation,16,2,0.25806451612903225
memberOf,1,7,0.016129032258064516
participation,1,7,0.016129032258064516
participational,0,10,0.0
subCollectionOf,0,10,0.0
subQuantityOf,0,10,0.0
termination,0,10,0.0
triggers,0,10,0.0
none,26,1,0.41935483870967744
other,4,4,0.06451612903225806
