Stereotype,characterization,componentOf,derivation,externalDependence,formal,material,mediation,memberOf,participation,none,other
characterization,1.0,0.2902973318063562,0.08831049253261174,0.35116968687505645,0.08691793475231986,0.18949241369336384,0.40246518691575606,0.23474627321980854,0.32627418737841973,0.023059422943695056,0.1410013638261656
componentOf,0.2902973318063562,1.0,0.13751447726256963,0.021006761448246414,0.14132712508420217,0.3536710906818347,0.2685284141822837,0.4215559623864913,0.0016593450365547965,0.09133431175716426,0.12474212873968325
derivation,0.08831049253261174,0.13751447726256963,1.0,0.11169639557169804,0.1932382205322446,0.5194120567266172,0.44293235277288207,0.2644460892947823,0.030692152253934506,0.03032998354213498,0.26324446568194465
externalDependence,0.35116968687505645,0.021006761448246414,0.11169639557169804,1.0,0.126858800625504,0.23084157724333834,0.10153008927691641,0.14098743864172072,0.36317008759574176,0.004572732297209863,0.0014454461743239834
formal,0.08691793475231986,0.14132712508420217,0.1932382205322446,0.126858800625504,1.0,0.18127273352331927,0.1846051791239219,0.3586927287026302,0.028237649782112736,0.1698637112161195,0.13381033498185754
material,0.18949241369336384,0.3536710906818347,0.5194120567266172,0.23084157724333834,0.18127273352331927,1.0,0.39438830765788796,0.3034270193454677,0.039669209931559216,0.12831408800809266,0.13991588484338102
mediation,0.40246518691575606,0.2685284141822837,0.44293235277288207,0.10153008927691641,0.1846051791239219,0.39438830765788796,1.0,0.41401724211172547,0.11645624632052294,0.14227493946186687,0.1483941823101614
memberOf,0.23474627321980854,0.4215559623864913,0.2644460892947823,0.14098743864172072,0.3586927287026302,0.3034270193454677,0.41401724211172547,1.0,0.1800239633661558,0.13432741823756714,0.0955212957140028
participation,0.32627418737841973,0.0016593450365547965,0.030692152253934506,0.36317008759574176,0.028237649782112736,0.039669209931559216,0.11645624632052294,0.1800239633661558,1.0,0.04614631766138197,0.0437617455745844
none,0.023059422943695056,0.09133431175716426,0.03032998354213498,0.004572732297209863,0.1698637112161195,0.12831408800809266,0.14227493946186687,0.13432741823756714,0.04614631766138197,1.0,0.11791162443942038
other,0.1410013638261656,0.12474212873968325,0.26324446568194465,0.0014454461743239834,0.13381033498185754,0.13991588484338102,0.1483941823101614,0.0955212957140028,0.0437617455745844,0.11791162443942038,1.0
