year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0.0,0.00012941633234114146,0.0,0.0005176653293645658,0.0,0.0002588326646822829,0.0,0.0006470816617057072,0.0,0.0,0.0,0.0002588326646822829,0.0007764979940468488,0.00012941633234114146,0.0,0.0,0.0,0.0,0.0,0.0,0.0005176653293645658,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002588326646822829,0.0
2011,0.0,0.0,0.0,0.0002588326646822829,0.0,0.0,0.0,0.0006470816617057072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0002588326646822829,0.0,0.0006470816617057072,0.0,0.0,0.0,0.0010353306587291317,0.0022000776497994048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036236573055519606,0.0
2013,0.0,0.0,0.0,0.001423579655752556,0.0,0.0002588326646822829,0.0,0.0003882489970234244,0.0,0.0,0.0,0.0002588326646822829,0.0005176653293645658,0.0005176653293645658,0.0,0.0,0.0009059143263879902,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0003882489970234244,0.0,0.0006470816617057072,0.0,0.0,0.0,0.0,0.0,0.0006470816617057072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012941633234114145,0.0
2015,0.0,0.01773003753073638,0.0,0.03766015271127216,0.0,0.012682800569431862,0.0002588326646822829,0.0355894913938139,0.0,0.0,0.0,0.03364824640869678,0.16345282774686165,0.015659376213278117,0.0,0.0,0.0015529959880936975,0.0003882489970234244,0.0,0.0,0.01876536818946551,0.0027177429791639704
2016,0.0,0.0022000776497994048,0.0019412449851171217,0.0006470816617057072,0.0,0.0,0.0007764979940468488,0.0032354083085285364,0.0,0.0,0.0,0.00012941633234114146,0.0032354083085285364,0.0005176653293645658,0.0005176653293645658,0.0,0.0,0.0,0.0,0.0,0.004141322634916527,0.001164746991070273
2017,0.0,0.0003882489970234244,0.0,0.0002588326646822829,0.0,0.0005176653293645658,0.0,0.0,0.0,0.0,0.0,0.002588326646822829,0.001423579655752556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04076614468745956,0.002588326646822829
2018,0.0003882489970234244,0.002329493982140546,0.0,0.0012941633234114145,0.0,0.0007764979940468488,0.0002588326646822829,0.00012941633234114146,0.0006470816617057072,0.0002588326646822829,0.0003882489970234244,0.0018118286527759803,0.0020706613174582634,0.0005176653293645658,0.001423579655752556,0.0,0.0,0.0,0.0,0.0002588326646822829,0.02303610715672318,0.00012941633234114146
2019,0.0,0.0024589103144816876,0.0,0.0015529959880936975,0.0,0.0007764979940468488,0.0,0.005047236961304517,0.0002588326646822829,0.0006470816617057072,0.00012941633234114146,0.001423579655752556,0.007376730943445063,0.0010353306587291317,0.0010353306587291317,0.0,0.0,0.0,0.0,0.0,0.011259220913679306,0.005176653293645658
2020,0.0,0.004270738967257668,0.0,0.005694318623010224,0.0005176653293645658,0.001164746991070273,0.0012941633234114145,0.0009059143263879902,0.0,0.0005176653293645658,0.0003882489970234244,0.0007764979940468488,0.005047236961304517,0.0,0.001423579655752556,0.0,0.0,0.0,0.0,0.0002588326646822829,0.04438980199301152,0.005435485958327941
2021,0.0007764979940468488,0.011129804581338165,0.00012941633234114146,0.009188559596221044,0.0009059143263879902,0.0007764979940468488,0.0019412449851171217,0.0009059143263879902,0.0012941633234114145,0.0015529959880936975,0.001164746991070273,0.014624045554548984,0.012941633234114146,0.0015529959880936975,0.0038824899702342435,0.00012941633234114146,0.0,0.0012941633234114145,0.0,0.0003882489970234244,0.033389413744014496,0.00012941633234114146
2022,0.0009059143263879902,0.0071178982787627795,0.0,0.0044001552995988095,0.0034942409732108192,0.003753073637893102,0.0027177429791639704,0.00012941633234114146,0.0027177429791639704,0.0045295716319399505,0.0006470816617057072,0.0069884819464216385,0.020965445839264914,0.0019412449851171217,0.01164746991070273,0.001164746991070273,0.0010353306587291317,0.00012941633234114146,0.00012941633234114146,0.0005176653293645658,0.05267244726284457,0.00012941633234114146
2023,0.001164746991070273,0.013976963892843277,0.0022000776497994048,0.005953151287692506,0.0015529959880936975,0.0019412449851171217,0.0020706613174582634,0.0,0.0,0.0009059143263879902,0.0002588326646822829,0.00815322893749191,0.01863595185712437,0.004270738967257668,0.001164746991070273,0.0,0.0,0.0,0.0005176653293645658,0.0003882489970234244,0.04361330399896467,0.001682412320434839
2024,0.0006470816617057072,0.011776886243043872,0.0005176653293645658,0.0020706613174582634,0.004658987964281092,0.0045295716319399505,0.002976575643846253,0.0012941633234114145,0.001423579655752556,0.0009059143263879902,0.002847159311505112,0.008800310599197619,0.01876536818946551,0.0002588326646822829,0.007764979940468487,0.0009059143263879902,0.0,0.0,0.002588326646822829,0.0002588326646822829,0.01785945386307752,0.0
