year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0,1,0,0,0,2,0,5,0,0,0,2,6,0,0,0,0,0,0,0,4,5
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
2011,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2012,0,0,0,0,0,2,0,5,0,0,0,8,17,0,0,0,0,0,0,0,28,0
2013,0,0,0,0,0,2,0,3,0,0,0,2,4,0,0,0,0,0,0,0,0,22
2014,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,13,3
2015,0,137,0,0,0,98,0,275,0,0,0,260,1263,0,0,0,0,0,0,0,145,450
2016,0,17,15,0,0,0,0,25,0,0,0,1,25,0,4,0,0,0,0,0,32,24
2017,0,3,0,0,0,4,0,0,0,0,0,20,11,0,0,0,0,0,0,0,315,22
2018,0,18,0,0,0,6,0,1,0,2,3,14,16,0,11,0,0,0,0,2,178,25
2019,0,19,0,0,0,6,0,39,0,5,1,11,57,0,8,0,0,0,0,0,87,62
2020,0,33,0,0,4,9,0,7,0,4,3,6,39,0,11,0,0,0,0,2,343,96
2021,0,86,1,0,7,6,0,7,0,12,9,113,100,0,30,1,0,0,0,3,258,125
2022,0,55,0,0,27,29,0,1,0,35,5,54,162,0,90,9,0,0,1,4,407,108
2023,0,108,17,0,12,15,0,0,0,7,2,63,144,0,9,0,0,0,4,3,337,117
2024,0,85,4,0,25,35,0,10,0,7,17,64,128,0,51,7,0,0,15,2,115,48
