Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
bringsAbout,30,0.24,12,0.096,0.0038824899702342435,0.018691588785046728
characterization,568,4.544,71,0.568,0.07350847676976835,0.11059190031152648
comparative,37,0.296,6,0.048,0.004788404296622233,0.009345794392523364
componentOf,551,4.408,45,0.36,0.07130839911996895,0.07009345794392523
creation,86,0.688,20,0.16,0.011129804581338165,0.03115264797507788
derivation,219,1.752,39,0.312,0.028342176782709977,0.06074766355140187
externalDependence,95,0.76,24,0.192,0.012294551572408437,0.037383177570093455
formal,383,3.064,24,0.192,0.04956645528665718,0.037383177570093455
historicalDependence,49,0.392,17,0.136,0.006341400284715931,0.0264797507788162
instantiation,72,0.576,18,0.144,0.009317975928562185,0.028037383177570093
manifestation,45,0.36,14,0.112,0.005823734955351365,0.021806853582554516
material,627,5.016,55,0.44,0.08114404037789569,0.08566978193146417
mediation,1989,15.912,80,0.64,0.25740908502653037,0.12461059190031153
memberOf,204,1.632,32,0.256,0.026400931797592855,0.04984423676012461
participation,223,1.784,31,0.248,0.028859842112074544,0.048286604361370715
participational,17,0.136,4,0.032,0.0022000776497994048,0.006230529595015576
subCollectionOf,27,0.216,6,0.048,0.0034942409732108192,0.009345794392523364
subQuantityOf,14,0.112,4,0.032,0.0018118286527759803,0.006230529595015576
termination,25,0.2,5,0.04,0.0032354083085285364,0.00778816199376947
triggers,16,0.128,10,0.08,0.0020706613174582634,0.01557632398753894
none,2302,18.416,109,0.872,0.2979163970493076,0.16978193146417445
other,148,1.184,16,0.128,0.019153617186488933,0.024922118380062305
